,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
366,impfondo,CG,1630969586,1.6381,18.0667,21.22,97,100,1.16
367,high prairie,CA,1630969309,55.4334,-116.4858,20.16,40,3,7.15
368,ashcroft,CA,1630969592,50.7165,-121.2859,25.82,31,78,1.64
369,arona,ES,1630969594,28.0996,-16.681,21.98,80,20,3.09
370,tazmalt,DZ,1630969596,36.3868,4.3989,23.95,45,31,1.61
371,namanga,KE,1630969598,-2.5433,36.7905,17.18,76,75,1.82
372,diamantino,BR,1630969547,-14.4086,-56.4461,30.93,23,51,2.53
373,berwick,US,1630969514,41.0545,-76.2333,23.23,70,12,1.51
374,paragominas,BR,1630969604,-2.9667,-47.4833,28.0,60,94,2.43
375,san cristobal,VE,1630969606,7.7669,-72.225,20.1,94,53,1.45
376,katsuura,JP,1630969607,35.1333,140.3,20.06,68,69,7.49
377,simao,CN,1630969609,22.7886,100.9748,16.84,97,6,0.88
378,batagay-alyta,RU,1630969611,67.8006,130.4114,10.87,64,25,2.3
379,kunming,CN,1630969614,25.0389,102.7183,15.32,80,60,1.92
380,shelopugino,RU,1630969616,51.6514,117.5599,6.52,67,59,1.21
381,leningradskiy,RU,1630969617,69.3833,178.4167,3.06,56,68,3.06
382,charlestown,AU,1630969619,-32.95,151.6667,14.85,58,0,0.89
383,luang prabang,LA,1630969621,19.8856,102.1347,21.73,99,52,0.55
384,kijang,KR,1630969623,35.2442,129.2139,23.98,75,100,2.89
385,kjollefjord,NO,1630969624,70.9457,27.3465,3.18,78,92,2.12
386,okha,RU,1630969626,53.5739,142.9478,15.21,63,0,2.87
387,chimbote,PE,1630969628,-9.0853,-78.5783,17.63,85,84,5.11
388,vila velha,BR,1630969459,-20.3297,-40.2925,22.97,83,90,6.17
389,langsa,ID,1630969631,4.4683,97.9683,23.01,94,73,0.84
390,ancud,CL,1630969634,-41.8697,-73.8203,9.68,83,98,2.69
391,uray,RU,1630969636,60.1247,64.7758,3.6,91,11,1.6
392,butterworth,MY,1630969639,5.3991,100.3638,26.67,87,20,0.0
393,oussouye,SN,1630969641,12.485,-16.5469,26.52,88,100,3.52
394,namatanai,PG,1630969642,-3.6667,152.4333,28.12,67,100,3.08
395,wuwei,CN,1630969644,37.9281,102.6414,15.21,43,0,1.9
396,amapa,BR,1630969647,1.0,-52.0,21.78,98,100,1.37
397,iquitos,PE,1630969648,-3.7481,-73.2472,23.12,97,100,0.63
398,akureyri,IS,1630969650,65.6835,-18.0878,11.1,84,100,0.64
399,orlik,RU,1630969652,52.5178,99.825,3.08,73,99,1.02
400,manicore,BR,1630969654,-5.8092,-61.3003,25.66,77,81,1.13
401,northam,GB,1630969658,51.0333,-4.2167,20.01,92,5,2.85
402,san patricio,US,1630969666,28.017,-97.5169,36.23,49,42,6.01
403,kawaguchi,JP,1630969668,35.805,139.7206,21.67,69,77,3.78
404,dukat,RU,1630969672,62.55,155.55,3.12,86,100,2.38
405,manacapuru,BR,1630969676,-3.2997,-60.6206,29.32,59,10,1.57
406,galle,LK,1630969678,6.0367,80.217,25.96,86,100,5.79
407,lagunas,PE,1630969683,-5.2269,-75.6753,23.06,96,97,1.21
408,sinjar,IQ,1630969685,36.3209,41.8754,27.92,28,0,3.73
409,batagay,RU,1630969686,67.6333,134.6333,9.94,74,98,0.86
410,hailar,CN,1630969688,49.2,119.7,8.44,75,29,2.12
411,letlhakeng,BW,1630969690,-24.0944,25.0298,17.41,29,68,4.44
412,los llanos de aridane,ES,1630969692,28.6585,-17.9182,22.86,84,20,2.57
413,suntar,RU,1630969694,62.1444,117.6319,8.11,73,100,2.06
414,klaksvik,FO,1630969696,62.2266,-6.589,13.51,96,100,7.72
415,stryn,NO,1630969698,61.9045,6.7226,16.16,93,100,3.47
416,port hawkesbury,CA,1630969700,45.6169,-61.3485,18.34,92,100,3.58
417,jian,CN,1630969702,27.1172,114.9793,24.84,91,90,2.65
418,komsomolskiy,UZ,1630969704,40.4272,71.7189,20.68,19,0,1.68
419,las tunas,CU,1630969707,20.9617,-76.9511,29.07,82,100,4.36
420,gewane,ET,1630969709,10.1664,40.6453,28.6,52,84,2.91
421,mogadishu,SO,1630969711,2.0371,45.3438,25.21,81,100,7.82
422,taungdwingyi,MM,1630969712,20.0167,95.55,22.47,97,30,1.83
423,riyadh,SA,1630969664,24.6877,46.7219,30.08,13,0,1.37
424,alofi,NU,1630969716,-19.0595,-169.9187,25.41,79,0,4.48
425,maumere,ID,1630969718,-8.6199,122.2111,26.69,70,79,2.19
426,camabatela,AO,1630969719,-8.1881,15.375,18.06,91,96,1.51
427,evora,PT,1630969446,38.5667,-7.9,19.69,77,82,2.0
428,port-cartier,CA,1630969723,50.0334,-66.8654,14.12,97,100,2.43
429,ilhabela,BR,1630969724,-23.7781,-45.3581,21.25,92,99,2.2
430,sao felix do xingu,BR,1630969726,-6.6447,-51.995,24.74,76,58,1.6
431,mersing,MY,1630969731,2.4312,103.8405,24.41,90,47,2.11
432,lata,PT,1630969733,40.1629,-8.3327,23.23,81,30,1.63
433,birnin kebbi,NG,1630969694,12.4539,4.1975,26.77,72,38,4.16
434,juneau,US,1630969740,58.3019,-134.4197,14.56,94,75,3.6
435,santa cruz,BO,1630969713,-17.8,-63.1667,30.03,62,75,7.72
436,sao filipe,CV,1630969744,14.8961,-24.4956,26.35,82,17,2.25
437,panjakent,TJ,1630969746,39.4952,67.6093,18.89,23,0,2.19
438,santa maria,BR,1630969685,-29.6842,-53.8069,17.48,84,95,4.98
439,niteroi,BR,1630969751,-22.8833,-43.1036,21.81,94,90,4.12
440,hyderabad,IN,1630969555,17.3753,78.4744,23.73,94,90,3.09
441,forio,IT,1630969756,40.7342,13.8646,23.23,57,45,6.06
442,penzance,GB,1630969758,50.1186,-5.5371,20.56,87,15,4.9
443,saint anthony,US,1630969733,45.0205,-93.218,27.18,43,1,2.24
444,rome,US,1630969761,34.257,-85.1647,28.5,83,77,2.47
445,savonlinna,FI,1630969763,61.8699,28.88,6.81,100,0,1.03
446,chute-aux-outardes,CA,1630969765,49.1168,-68.399,15.78,96,98,4.28
447,coari,BR,1630969767,-4.085,-63.1414,27.32,66,74,1.24
448,caranavi,BO,1630969770,-15.8167,-67.55,17.74,97,78,1.34
449,kamenka,RU,1630969774,51.3223,42.7678,6.53,62,90,1.96
450,urumqi,CN,1630969633,43.801,87.6005,20.53,35,0,2.0
451,altamira,BR,1630969715,-3.2033,-52.2064,26.48,59,29,1.49
452,capitao poco,BR,1630969780,-1.7464,-47.0594,23.94,86,76,3.41
453,algiers,DZ,1630969547,36.7525,3.042,20.9,78,0,1.54
454,praia da vitoria,PT,1630969784,38.7333,-27.0667,20.42,87,67,6.01
455,porto novo,BJ,1630969786,6.4965,2.6036,24.81,90,100,2.29
456,nelson bay,AU,1630969787,-32.7167,152.15,15.06,60,0,0.89
457,manzhouli,CN,1630969789,49.6,117.4333,9.46,75,84,1.52
458,khorinsk,RU,1630969791,52.1657,109.7726,3.47,93,86,2.3
459,kattivakkam,IN,1630969793,13.2167,80.3167,27.05,70,100,7.16
460,ahuimanu,US,1630969768,21.4447,-157.8378,30.84,61,1,5.14
461,san andres,CO,1630969262,12.5847,-81.7006,28.27,79,84,8.49
462,oppdal,NO,1630969800,62.5943,9.6912,11.7,78,100,3.46
463,buin,CL,1630969802,-33.7333,-70.75,11.02,58,93,1.74
464,mamontovo,RU,1630969805,52.7055,81.6244,10.91,71,56,3.05
465,geraldton,AU,1630969807,-28.7667,114.6,8.23,71,0,5.14
466,coihaique,CL,1630969810,-45.5752,-72.0662,7.97,66,0,2.06
467,tongren,CN,1630969813,27.7172,109.1853,21.43,91,98,1.21
468,emerald,AU,1630969683,-23.5333,148.1667,16.21,41,0,9.01
469,changli,CN,1630969820,39.7042,119.1506,15.95,87,0,1.91
470,kieta,PG,1630969822,-6.2167,155.6333,28.83,69,99,2.54
471,saurimo,AO,1630969824,-9.6608,20.3916,21.72,52,42,1.84
472,tacoronte,ES,1630969826,28.4769,-16.4102,22.21,83,75,0.45
473,mushie,CD,1630969829,-3.0167,16.9,25.31,70,63,1.71
474,muravlenko,RU,1630969831,63.7898,74.523,5.27,80,11,6.0
475,sao gabriel da cachoeira,BR,1630969834,-0.1303,-67.0892,23.09,98,79,0.75
476,codrington,AU,1630969836,-38.2667,141.9667,12.5,79,36,6.28
477,sao jose da coroa grande,BR,1630969838,-8.8978,-35.1478,23.85,77,22,3.52
478,alice springs,AU,1630969839,-23.7,133.8833,11.75,50,0,4.63
479,cumbitara,CO,1630969842,1.6517,-77.5823,15.92,94,96,1.3
480,fare,PF,1630969843,-16.7,-151.0167,25.85,73,3,5.91
481,doha,QA,1630969819,25.2867,51.5333,32.99,46,0,2.06
482,guerrero negro,MX,1630969847,27.9769,-114.0611,26.51,62,81,5.46
483,proddatur,IN,1630969848,14.7333,78.55,22.96,89,100,6.76
484,oda,JP,1630969850,35.1833,132.5,22.1,75,100,3.76
485,salice salentino,IT,1630969853,40.387,17.9607,23.75,65,72,4.0
486,avera,US,1630969856,33.194,-82.5271,30.73,58,99,0.62
487,biskamzha,RU,1630969858,53.4497,89.5272,10.12,83,14,0.37
488,tamasopo,MX,1630969861,21.9333,-99.4833,23.14,67,100,2.01
489,swedru,GH,1630969863,5.5371,-0.6998,23.15,96,100,2.03
490,wasilla,US,1630969865,61.5814,-149.4394,15.53,74,90,0.0
491,severnoye,RU,1630969868,56.3491,78.3619,6.81,72,35,2.14
492,khandyga,RU,1630969870,62.6667,135.6,9.31,63,3,0.12
493,katherine,AU,1630969874,-14.4667,132.2667,19.18,30,6,4.12
494,melito di porto salvo,IT,1630969878,37.9222,15.7714,23.64,64,90,1.54
495,general pico,AR,1630969880,-35.6566,-63.7568,12.1,91,97,5.11
496,coquimbo,CL,1630969650,-29.9533,-71.3436,13.85,76,20,5.66
497,colares,PT,1630969887,38.7992,-9.4469,23.55,74,44,6.69
498,west helena,US,1630969889,34.5507,-90.6418,29.89,33,0,4.29
499,boyolangu,ID,1630969892,-8.1181,111.8935,23.36,94,81,1.68
500,kaseda,JP,1630969894,31.4167,130.3167,25.1,78,100,2.59
501,goderich,CA,1630969897,43.7501,-81.7165,20.51,65,10,3.52
502,campbeltown,GB,1630969901,55.4258,-5.6076,17.03,99,99,2.93
503,kyaiklat,MM,1630969903,16.4333,95.7333,25.15,93,100,1.2
504,udachnyy,RU,1630969905,66.4167,112.4,10.27,51,4,2.19
505,velika obarska,BA,1630969906,44.8053,19.1642,14.38,54,1,1.37
506,kamaishi,JP,1630969909,39.2667,141.8833,15.53,68,30,4.63
507,nuevitas,CU,1630969912,21.5453,-77.2644,23.69,81,96,2.94
508,muriti,TZ,1630969914,-1.9833,32.9167,23.9,67,100,4.27
509,muscat,OM,1630969683,23.6139,58.5922,30.01,66,1,2.26
510,parker,US,1630969705,32.7668,-97.8003,34.72,45,8,0.89
511,chokwe,MZ,1630969690,-24.5333,32.9833,18.89,87,30,3.06
512,mizdah,LY,1630969922,31.4451,12.9801,20.71,80,0,2.46
513,lubango,AO,1630969925,-14.9172,13.4925,16.46,47,0,1.57
514,cumra,TR,1630969934,37.5732,32.7745,15.08,56,40,3.6
515,muisne,EC,1630969936,0.6,-80.0333,24.1,86,100,3.83
516,nouadhibou,MR,1630969939,20.931,-17.0347,21.99,94,0,8.23
517,san pedro,PH,1630969941,14.35,121.0167,26.72,87,57,0.75
518,fez,MA,1630969744,34.0372,-4.9998,35.14,17,75,8.75
519,margate,GB,1630969947,51.3813,1.3862,18.86,82,54,3.46
520,morant bay,JM,1630969950,17.8815,-76.4093,29.79,80,7,3.2
521,victor harbor,AU,1630969952,-35.5667,138.6167,13.73,81,99,2.22
522,asilah,MA,1630969955,35.465,-6.0348,25.98,81,72,4.3
523,abdanan,IR,1630969957,32.9926,47.4198,27.42,14,0,5.99
524,yemelyanovo,RU,1630969739,56.1681,92.6767,-0.55,100,0,0.0
525,ajtos,BG,1630969961,42.7,27.25,14.68,72,0,3.05
526,ormara,PK,1630969963,25.2088,64.6357,26.21,90,25,3.81
527,aktas,KZ,1630969964,49.7789,72.9608,11.86,39,16,7.32
528,hambantota,LK,1630969966,6.1241,81.1185,26.25,82,100,7.55
529,christchurch,NZ,1630969812,-43.5333,172.6333,19.62,45,46,9.26
530,tuban,ID,1630969972,-6.8976,112.0649,24.5,86,43,3.29
531,saint-leu,RE,1630969973,-21.15,55.2833,19.46,72,51,0.52
532,amahai,ID,1630969975,-3.3333,128.9167,24.83,93,100,3.36
533,norwich,GB,1630969978,52.6278,1.2983,19.7,79,32,2.06
534,lancaster,US,1630969882,40.2504,-76.2499,24.77,60,1,0.45
535,sol-iletsk,RU,1630969982,51.1631,54.9918,8.37,87,82,0.97
536,hamilton,US,1630969430,39.1834,-84.5333,27.66,52,40,0.45
537,cozumel,MX,1630969857,20.5083,-86.9458,29.04,82,75,0.89
538,sokolo,ML,1630969986,14.7328,-6.1219,27.61,57,56,1.26
539,palana,RU,1630969988,59.1167,159.9667,7.55,56,74,2.39
540,yulara,AU,1630969990,-25.2406,130.9889,11.91,40,0,6.69
541,eydhafushi,MV,1630969991,5.1033,73.0708,27.41,79,98,5.85
542,gadsden,US,1630969867,34.0143,-86.0066,28.13,93,60,1.94
543,saint-joseph,RE,1630969995,-21.3667,55.6167,19.2,76,21,6.07
544,mount isa,AU,1630969997,-20.7333,139.5,16.87,25,8,4.63
545,mumford,GH,1630969999,5.2618,-0.759,23.96,92,89,4.3
546,altay,CN,1630969867,47.8667,88.1167,16.46,30,29,2.41
547,jinchang,CN,1630970004,38.4953,102.1739,16.73,35,0,3.16
548,mossendjo,CG,1630970007,-2.9506,12.7261,22.74,70,100,1.97
549,bauska,LV,1630970009,56.4075,24.1906,11.86,78,100,3.29
550,sungaipenuh,ID,1630970012,-2.0833,101.3833,17.41,98,97,0.64
551,tiznit,MA,1630970014,29.5833,-9.5,24.91,40,22,0.98
552,syedove,UA,1630970018,47.0768,38.156,16.11,47,81,5.52
553,elat,IL,1630970020,29.5581,34.9482,27.91,51,0,6.17
554,eureka,US,1630969940,40.8021,-124.1637,22.85,70,100,2.24
555,camacha,PT,1630970023,33.0833,-16.3333,21.68,78,20,4.12
556,cayenne,GF,1630970026,4.9333,-52.3333,27.83,82,0,1.34
557,fougeres,FR,1630970028,48.35,-1.2,21.51,55,1,4.75
558,gaoua,BF,1630970030,10.2992,-3.2508,24.73,72,41,2.28
559,new iberia,US,1630969839,30.0035,-91.8187,29.1,74,20,3.6
560,marrakesh,MA,1630970027,31.6315,-8.0083,26.04,53,40,3.6
561,comodoro rivadavia,AR,1630969926,-45.8667,-67.5,10.92,66,0,1.03
